Appid;Title;Top seller rank; Action; Action-Adventure; Card Game; First-Person Shooter; MMORPG; Simulation; Strategy; But First,  You'll Need A Contract; Changing The Game; Expansive Expansions; Free To Play; Horse Armor; Infinite Money Hole; It's Not Gambling, We Swear; Time Is Money;positive;negative;median_forever;median_2weeks;ccu;10%;25%;5%;1%;100%;share ;class_percentile
440;Team Fortress 2;51;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;799907;54256;448;302;82536;1;1;1;1;1;0.001226227;1
212740;TERA - Action MMORPG;337;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;5551;1635;263;0;349;1;1;1;1;1;0.008102715;1
504310;The Cooking Game;16046;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;110;61;335;0;1;0;0;0;0;1;0.385804621;5
364470;The Elder Scrolls: Legends;2758;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;7297;2557;114;1;291;1;1;0;0;1;0.066312423;3
260430;The Four Kings Casino and Slots;1671;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2374;1095;417;6;68;1;1;1;0;1;0.040176961;2
253710;theHunter Classic;674;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;19866;16869;41;126;1297;1;1;1;0;1;0.016205429;2
1135800;Tiger Fighter 1931 Sunset;13615;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0.327354476;5
1090540;Tiger Tank 59 I Air Strike;14784;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0.355461518;5
1058760;Tiger Tank 59 I Rainstorm;16231;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0.390252699;5
248570;Toribash;4798;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13450;1708;45;0;119;0;1;0;0;1;0.115361496;4
